X,Y,osm_id,amenity,healthcare,name,operator,source,speciality,operator_t,contact_nu,operationa,opening_ho,beds,staff_doct,staff_nurs,health_ame,dispensing,wheelchair,emergency,insurance,water_sour,electricit,is_in_heal,is_in_heal2,url,addr_house,addr_stree,addr_postc,addr_city,changeset_,changeset_2,changeset_3,changeset_4,location
19.2493939776068,42.4228601216087,4854020723,pharmacy,,,,,,,,,Mo-Sa 07:00-21:00; Su 08:00-14:00,,,,,,,,,,,,,,34,Jerevanska,,,48680559,1,2017-05-14 18:36:35+00:00,Rade Stijepović,"Meditas apoteka, 34, Jerevanska, Zabjelo, Podgorica, Glavni grad Podgorica, 81106, Crna Gora / Црна Гора"
19.7931899787371,42.7337003185895,4861237323,hospital,,Dom zdravlja,,,,,,,,,,,,,,,,,,,,,,,,,54145582,3,2017-11-28 11:40:44+00:00,user_1737004,"Dom zdravlja, R-2, Bandovića most, Pode, Andrijevica, Opština Andrijevica, 84320, Crna Gora / Црна Гора"
19.1287476293552,43.1539219212327,4876237087,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,76667418,2,2019-11-05 20:46:22+00:00,Epheo,"Pendrek do, Žabljak, Opština Žabljak, 84220, Crna Gora / Црна Гора"
18.9274973797879,42.3896409629514,454398605,hospital,hospital,Dom zdravlja Cetinje,,,,,,,,,,,,,,,,,,,,,,,,,82619897,6,2020-03-25 16:38:27+00:00,Kalepom,"Dom zdravlja Cetinje, Ulica Vuka Mićunovića, Borovik, Cetinje, Prijestolnica Cetinje, 81250, Crna Gora / Црна Гора"
18.7542497276187,42.3681049200326,4912901321,doctors,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,76927434,2,2019-11-11 19:37:50+00:00,Badojo,"M-1, Radanovići, Opština Kotor, Crna Gora / Црна Гора"
19.2679784171421,42.4633689376369,4964397221,clinic,,,,,,,,,,,,,,,,,,,,,,,,Piperska,81000.0,,50209617,1,2017-07-11 18:48:06+00:00,Goran Delibasic,"Hipokrat, Piperska, Zagorič, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
19.2662080753728,42.4400047178169,4966272709,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,106287192,2,2021-06-13 15:17:06+00:00,Linfindel,"35, Novaka Miloševa, Drač, Podgorica, Glavni grad Podgorica, 20000, Crna Gora / Црна Гора"
19.2697109565281,42.4406027666083,4966272708,pharmacy,pharmacy,Tea Medica 19,,,,,,,,,,,,,,,,,,,,,,,,,110523844,3,2021-08-31 16:46:53+00:00,CRCulver,"Tea Medica 19, IV Proleterske brigade, Drač, Podgorica, Glavni grad Podgorica, 20000, Crna Gora / Црна Гора"
19.2387502178619,41.9287349434085,4990321124,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,50531396,1,2017-07-24 15:15:16+00:00,Adrian Aliaj,"Llolla Dent, M-1, Gač - Gaçi, Pistula - Pistullë, Opština Ulcinj - Komuna e Ulqinit, 85360, Crna Gora / Црна Гора"
19.8328392305949,42.5634870830072,5003805623,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,50702924,1,2017-07-30 20:58:12+00:00,AlexeyPG,"Cafe centar, Čaršijska, Gusinje, Opština Gusinje, 84326, Crna Gora / Црна Гора"
